Model,F1,Precision,Recall,ROC_AUC,PR_AUC
LightGBM,0.8611348327439794,0.8592953639625636,0.8638469182734397,0.8795008750540958,0.6941680402009381
CatBoost,0.8595213117387746,0.8574856980307523,0.8655161015003037,0.8784750349216974,0.6914249033036695
XGBoost,0.8573051934591682,0.8557184269992941,0.8593753431506442,0.8753205556950807,0.6845555157937353
