iter	Logloss
0	0.6326858308
1	0.5860795172
2	0.546240281
3	0.5139854302
4	0.4921315383
5	0.4700064681
6	0.4541268166
7	0.4396375425
8	0.428710418
9	0.417875725
10	0.4100424068
11	0.4038624045
12	0.3971829052
13	0.3925097713
14	0.3880468829
15	0.3841543144
16	0.3807203279
17	0.3782284664
18	0.3749954561
19	0.3731870886
20	0.3711083466
21	0.3687604626
22	0.3676173477
23	0.3665011533
24	0.3650072613
25	0.3637523342
26	0.3628308152
27	0.3616492253
28	0.3608555279
29	0.3600066261
30	0.3595763229
31	0.358901359
32	0.3583143964
33	0.3578626578
34	0.3575327121
35	0.3571641091
36	0.3565889273
37	0.3561414232
38	0.3558079007
39	0.3555377696
40	0.3553277214
41	0.3548327226
42	0.3545169945
43	0.3543262314
44	0.3540530933
45	0.3537652141
46	0.3534715026
47	0.3531951179
48	0.3528194418
49	0.3525451609
50	0.3523563878
51	0.3522168703
52	0.352104003
53	0.3519718897
54	0.3518077368
55	0.3516985046
56	0.3515073811
57	0.3514183477
58	0.3512810181
59	0.3511929127
60	0.3511104984
61	0.3510209403
62	0.3509412225
63	0.3508177216
64	0.3506882165
65	0.350595914
66	0.3505232113
67	0.3503508376
68	0.3502356063
69	0.3501688988
70	0.3500458427
71	0.3499116401
72	0.3498360663
73	0.3497684341
74	0.3496862253
75	0.349596007
76	0.3494658625
77	0.3493637868
78	0.3492031324
79	0.3491376842
80	0.3490643893
81	0.3490121809
82	0.3489596621
83	0.3488858479
84	0.3488149316
85	0.3487623233
86	0.3487145032
87	0.3486585486
88	0.3485976202
89	0.3485427123
90	0.3484998929
91	0.3484504265
92	0.348415547
93	0.3482593294
94	0.3481768824
95	0.3481223412
96	0.348050678
97	0.347990794
98	0.3479328845
99	0.347860656
100	0.3478132203
101	0.3477737367
102	0.3477156741
103	0.3476546164
104	0.3476042906
105	0.3475531605
106	0.3475067447
107	0.347454699
108	0.347401482
109	0.3473350138
110	0.3472941887
111	0.3472380295
112	0.3471668808
113	0.3471133367
114	0.3470708981
115	0.3470260455
116	0.3469617911
117	0.3469153798
118	0.3468779326
119	0.3468320272
120	0.3468002889
121	0.3467597636
122	0.3467025309
123	0.346669464
124	0.3466320375
125	0.3465394372
126	0.346508534
127	0.3464734508
128	0.3464345814
129	0.3463998522
130	0.3463453433
131	0.3462983801
132	0.3462686492
133	0.3462266601
134	0.3461572573
135	0.3461216456
136	0.3460817901
137	0.3460434754
138	0.3459991766
139	0.3459531354
140	0.3459223858
141	0.3458662684
142	0.3458223225
143	0.3457846195
144	0.3457332065
145	0.3456874956
146	0.3456470266
147	0.345599521
148	0.3455477356
149	0.3455092664
150	0.3454520574
151	0.3453987095
152	0.3453421152
153	0.3452905248
154	0.3452500804
155	0.3452132791
156	0.3451764562
157	0.3451253373
158	0.345087075
159	0.3450389621
160	0.3449953644
161	0.3449492374
162	0.3448955955
163	0.3448462359
164	0.34479498
165	0.3447410638
166	0.3447038013
167	0.3446564296
168	0.3446115635
169	0.3445512287
170	0.3445057927
171	0.3444569406
172	0.3444132921
173	0.3443782687
174	0.3443304175
175	0.3442833489
176	0.3442424232
177	0.3441737404
178	0.3441328799
179	0.3440608255
180	0.3440110568
181	0.3439629169
182	0.3439103936
183	0.3438716491
184	0.3438309531
185	0.3438006962
186	0.3437412187
187	0.3436956512
188	0.3436671576
189	0.3436093927
190	0.3435594801
191	0.3435206846
192	0.3434790876
193	0.3434393352
194	0.3433888589
195	0.3433359653
196	0.3432930234
197	0.3432451544
198	0.3432119894
199	0.3431602207
200	0.3430959988
201	0.3430491857
202	0.3430040354
203	0.3429580639
204	0.3429092344
205	0.3428678672
206	0.3428334731
207	0.34279818
208	0.3427603879
209	0.342723791
210	0.3426832202
211	0.342650444
212	0.3426063693
213	0.3425701737
214	0.3425260016
215	0.3424813981
216	0.3424342833
217	0.3423909893
218	0.3423451523
219	0.3422945798
220	0.342256596
221	0.3422282983
222	0.3421809757
223	0.3421327545
224	0.3420760157
225	0.3420402535
226	0.3419829009
227	0.341948919
228	0.3419151729
229	0.3418691877
230	0.3418277587
231	0.341787515
232	0.3417427633
233	0.3417067917
234	0.3416556212
235	0.3416141145
236	0.3415715203
237	0.3415208788
238	0.3414789107
239	0.3414466994
240	0.3414014088
241	0.3413666399
242	0.3413330083
243	0.3412841429
244	0.3412424387
245	0.3412004425
246	0.3411559245
247	0.3411183393
248	0.3410905515
249	0.3410570177
250	0.3410124466
251	0.3409737004
252	0.3409354422
253	0.3408944343
254	0.3408564247
255	0.340804549
256	0.3407671356
257	0.3407299776
258	0.3406837029
259	0.340649138
260	0.3406189798
261	0.3405834073
262	0.3405531335
263	0.3405170706
264	0.3404769274
265	0.3404398306
266	0.3404008327
267	0.3403679443
268	0.3403306425
269	0.340296787
270	0.3402585095
271	0.3402220058
272	0.3401932917
273	0.3401545622
274	0.3401049569
275	0.3400736088
276	0.3400384917
277	0.3400062345
278	0.3399750987
279	0.3399394202
280	0.3399026032
281	0.3398693922
282	0.3398352562
283	0.3397920322
284	0.3397570593
285	0.3397234491
286	0.3396940587
287	0.3396674397
288	0.339635107
289	0.3396049256
290	0.3395723911
291	0.339533235
292	0.3394941747
293	0.3394610947
294	0.3394225071
295	0.339394594
296	0.3393578001
297	0.3393266786
298	0.3392881207
299	0.3392473461
300	0.3392028888
301	0.3391673704
302	0.3391179505
303	0.3390935661
304	0.3390588089
305	0.3390283848
306	0.3389854855
307	0.3389449393
308	0.3389103594
309	0.3388689678
310	0.3388340908
311	0.338799856
312	0.3387721442
313	0.3387339069
314	0.3386997464
315	0.338654592
316	0.3386167841
317	0.3385793218
318	0.3385431253
319	0.3385034398
320	0.3384699959
321	0.3384421645
322	0.3384049947
323	0.3383732236
324	0.3383406651
325	0.3383102633
326	0.3382865126
327	0.3382528762
328	0.3382144358
329	0.3381823153
330	0.3381364983
331	0.3381095201
332	0.3380794192
333	0.338046092
334	0.3380079202
335	0.3379795716
336	0.3379466133
337	0.3378992383
338	0.3378640622
339	0.337837185
340	0.3378040504
341	0.3377771639
342	0.3377418312
343	0.3377131041
344	0.3376805926
345	0.3376487001
346	0.3376170793
347	0.3375860311
348	0.3375509018
349	0.3375148156
350	0.3374878823
351	0.3374451477
352	0.3374065537
353	0.3373766897
354	0.3373420173
355	0.3373082876
356	0.3372772654
357	0.337246524
358	0.3372137287
359	0.337173259
360	0.3371371585
361	0.337116615
362	0.3370821232
363	0.3370503781
364	0.3370192462
365	0.3369778392
366	0.3369463508
367	0.3369149126
368	0.3368809647
369	0.336853735
370	0.3368287285
371	0.336799444
372	0.336761633
373	0.3367241222
374	0.3366982687
375	0.3366707203
376	0.3366478358
377	0.3366118949
378	0.3365755215
379	0.3365379165
380	0.3365044024
381	0.3364611365
382	0.3364386944
383	0.3364160147
384	0.3363923147
385	0.3363541732
386	0.3363326751
387	0.3363024871
388	0.3362640877
389	0.3362323668
390	0.336204204
391	0.3361657999
392	0.3361381072
393	0.3361023046
394	0.3360616595
395	0.3360261002
396	0.3360023812
397	0.3359787892
398	0.3359505596
399	0.3359236966
400	0.3358950184
401	0.3358631401
402	0.3358331086
403	0.3358036782
404	0.3357657055
405	0.3357379994
406	0.3357091668
407	0.3356722789
408	0.3356416523
409	0.3356115813
410	0.3355799058
411	0.3355394503
412	0.3355160296
413	0.3354872257
414	0.3354608494
415	0.3354280839
416	0.3354068578
417	0.3353755683
418	0.3353406273
419	0.335306972
420	0.3352803428
421	0.3352414582
422	0.3352097675
423	0.3351785089
424	0.3351446134
425	0.3351239232
426	0.3350987382
427	0.3350727894
428	0.3350379861
429	0.3349900743
430	0.3349654689
431	0.3349327787
432	0.3349016573
433	0.3348755588
434	0.3348486569
435	0.3348143578
436	0.3347931562
437	0.3347612197
438	0.334729205
439	0.3346901559
440	0.3346682625
441	0.3346350483
442	0.3346156504
443	0.3345864723
444	0.3345482697
445	0.3345094187
446	0.3344623854
447	0.33444245
448	0.3344079275
449	0.3343806988
450	0.3343473247
451	0.334327956
452	0.3343008552
453	0.334282415
454	0.3342425971
455	0.33420006
456	0.3341712589
457	0.3341414517
458	0.3341063318
459	0.3340756565
460	0.3340598449
461	0.3340391923
462	0.3340076921
463	0.3339732067
464	0.3339481987
465	0.3339092163
466	0.3338714693
467	0.3338428663
468	0.3338115599
469	0.333776337
470	0.3337532969
471	0.3337232829
472	0.3336881403
473	0.3336516096
474	0.3336190126
475	0.3335919806
476	0.3335682427
477	0.3335453894
478	0.3335135637
479	0.3334857727
480	0.333454007
481	0.333432302
482	0.3334108369
483	0.3333729702
484	0.3333448837
485	0.333309239
486	0.3332818999
487	0.3332438163
488	0.3332167131
489	0.3331859686
490	0.3331557647
491	0.33313173
492	0.333105553
493	0.3330815638
494	0.3330541049
495	0.3330150976
496	0.3329876003
497	0.3329655862
498	0.3329331502
499	0.3328885094
500	0.332868723
501	0.3328355204
502	0.3328082374
503	0.3327800239
504	0.3327554983
505	0.3327140454
506	0.3326807275
507	0.332658944
508	0.3326285247
509	0.3326041627
510	0.3325728415
511	0.3325484708
512	0.3325177839
513	0.332480078
514	0.3324486006
515	0.332427066
516	0.3324022294
517	0.3323735327
518	0.3323488683
519	0.332314805
520	0.3322923528
521	0.3322687733
522	0.3322409086
523	0.3322131331
524	0.3321868497
525	0.3321566986
526	0.3321161362
527	0.3320924931
528	0.3320640471
529	0.3320316445
530	0.3320117619
531	0.3319875379
532	0.3319560601
533	0.3319243382
534	0.3318922097
535	0.3318589285
536	0.3318360594
537	0.3318066801
538	0.3317768504
539	0.3317539709
540	0.3317334216
541	0.3317088507
542	0.3316750453
543	0.3316327028
544	0.331606115
545	0.3315734314
546	0.331536939
547	0.3314984243
548	0.3314734709
549	0.3314403678
550	0.3314173357
551	0.3313935794
552	0.331362474
553	0.3313288045
554	0.3313005132
555	0.3312780296
556	0.3312537635
557	0.3312246725
558	0.331203883
559	0.3311820784
560	0.3311583679
561	0.3311309749
562	0.331108601
563	0.3310659663
564	0.3310409292
565	0.3310216008
566	0.3309939823
567	0.330966427
568	0.3309381354
569	0.3309133088
570	0.3308978246
571	0.3308640493
572	0.3308385954
573	0.3308124539
574	0.3307882607
575	0.3307535564
576	0.3307106807
577	0.3306846566
578	0.3306592776
579	0.3306277207
580	0.3305975858
581	0.3305752309
582	0.3305535204
583	0.3305312463
584	0.330501791
585	0.3304688301
586	0.3304323552
587	0.3304196721
588	0.3304038749
589	0.3303824353
590	0.3303391175
591	0.3303178646
592	0.3302996155
593	0.3302604862
594	0.3302374468
595	0.3302114198
596	0.3301892403
597	0.3301667028
598	0.3301483251
599	0.3301270756
600	0.3301051811
601	0.3300888547
602	0.3300613306
603	0.3300261722
604	0.3300017903
605	0.3299749649
606	0.329951238
607	0.3299185539
608	0.3298942006
609	0.329852
610	0.3298184949
611	0.3297988063
612	0.3297689889
613	0.3297488407
614	0.3297256366
615	0.329708333
616	0.3296902947
617	0.3296642702
618	0.3296309291
619	0.329600552
620	0.3295740394
621	0.3295506731
622	0.3295140387
623	0.3294774647
624	0.3294557985
625	0.3294197271
626	0.3293867813
627	0.3293576302
628	0.3293314986
629	0.3293124761
630	0.3292786726
631	0.3292565635
632	0.3292275279
633	0.3291986338
634	0.3291764108
635	0.3291438076
636	0.329108478
637	0.3290863122
638	0.3290526736
639	0.329022671
640	0.3289989947
641	0.32896098
642	0.3289416977
643	0.3289046466
644	0.3288768138
645	0.3288418495
646	0.3288154671
647	0.3287957384
648	0.3287621865
649	0.3287307601
650	0.3286923598
651	0.328670314
652	0.3286486336
653	0.3286210369
654	0.3285934337
655	0.3285675158
656	0.3285379409
657	0.3284990547
658	0.3284748644
659	0.3284449701
660	0.3284191867
661	0.328396405
662	0.3283628773
663	0.3283430712
664	0.3283067714
665	0.3282794609
666	0.3282481867
667	0.3282195609
668	0.3281877694
669	0.3281526956
670	0.32814449
671	0.3281183063
672	0.3280960819
673	0.3280678828
674	0.3280410143
675	0.3280156715
676	0.3279831586
677	0.3279562501
678	0.3279200112
679	0.3278932327
680	0.3278693027
681	0.3278449447
682	0.3278216169
683	0.327799483
684	0.3277681822
685	0.3277337172
686	0.3277088313
687	0.3276842924
688	0.32766514
689	0.3276322257
690	0.3275996658
