model,roc_auc,f1_score,precision,recall
xgboost,0.8865184077721422,0.6408244885402246,0.742602495543672,0.5635822510822511
lightgbm,0.8859919885398566,0.6408822853641725,0.7385701676963813,0.566017316017316
catboost,0.8843318338972874,0.6331158744951848,0.7432530999270606,0.5514069264069265
