Model,F1,Precision,Recall,ROC_AUC,PR_AUC
LightGBM,0.8221776697841385,0.8544863229032039,0.8083734657996684,0.8817341310591367,0.6966822230090453
CatBoost,0.8249097786899909,0.8539707718492693,0.8120181030523925,0.8790707619104078,0.6946584523583443
XGBoost,0.8234631832628597,0.8518655515323756,0.8106322135651769,0.8759674765583545,0.6864442684151874
