Model,F1,Precision,Recall,ROC_AUC,PR_AUC
LightGBM,0.8347764725215026,0.8550217854712947,0.8247513582829538,0.8794112460931769,0.688606536827326
CatBoost,0.840907462609143,0.8553445705608749,0.8329977180060777,0.8780091732147695,0.6885786887062844
XGBoost,0.8342862910694893,0.8538279019111903,0.8244451088827803,0.8765508708609113,0.6839396458068675
